"Statistic Label","Year","County","UNIT","VALUE"
"Fatal Collisions","2017","Louth","Number","7"
"Fatal Collisions","2017","Meath","Number","7"
"Fatal Collisions","2017","Offaly","Number","2"
"Fatal Collisions","2017","Westmeath","Number","1"
"Fatal Collisions","2017","Wexford","Number","3"
"Fatal Collisions","2017","Wicklow","Number","2"
"Fatal Collisions","2017","Clare","Number","4"
"Fatal Collisions","2017","Cork","Number","13"
"Fatal Collisions","2017","Kerry","Number","7"
"Fatal Collisions","2017","Limerick","Number","6"
"Fatal Collisions","2017","Tipperary","Number","8"
"Fatal Collisions","2017","Waterford","Number","4"
"Fatal Collisions","2017","Galway","Number","5"
"Fatal Collisions","2017","Leitrim","Number","1"
"Fatal Collisions","2017","Mayo","Number","8"
"Fatal Collisions","2017","Roscommon","Number","4"
"Fatal Collisions","2017","Sligo","Number","2"
"Fatal Collisions","2017","Cavan","Number","2"
"Fatal Collisions","2017","Donegal","Number","5"
"Fatal Collisions","2017","Monaghan","Number","8"
"Fatal Collisions","2018","All Counties","Number","132"
"Fatal Collisions","2018","Carlow","Number","2"
"Fatal Collisions","2018","Dublin","Number","14"
"Fatal Collisions","2018","Kildare","Number","4"
"Fatal Collisions","2018","Kilkenny","Number","2"
"Fatal Collisions","2018","Laois","Number","5"
"Fatal Collisions","2018","Longford","Number","3"
"Fatal Collisions","2018","Louth","Number","6"
"Fatal Collisions","2018","Meath","Number","7"
"Fatal Collisions","2018","Offaly","Number","2"
"Fatal Collisions","2018","Westmeath","Number","5"
"Fatal Collisions","2018","Wexford","Number","3"
"Fatal Collisions","2018","Wicklow","Number","5"
"Fatal Collisions","2018","Clare","Number","5"
"Fatal Collisions","2018","Cork","Number","15"
"Fatal Collisions","2018","Kerry","Number","2"
"Fatal Collisions","2018","Limerick","Number","8"
"Fatal Collisions","2018","Tipperary","Number","9"
"Fatal Collisions","2018","Waterford","Number","3"
"Fatal Collisions","2018","Galway","Number","6"
"Fatal Collisions","2018","Leitrim","Number","1"
"Fatal Collisions","2018","Mayo","Number","8"
"Fatal Collisions","2018","Roscommon","Number","2"
"Fatal Collisions","2018","Sligo","Number","1"
"Fatal Collisions","2018","Cavan","Number","3"
"Fatal Collisions","2018","Donegal","Number","9"
"Fatal Collisions","2018","Monaghan","Number","2"
"Fatal Collisions","2019","All Counties","Number","129"
"Fatal Collisions","2019","Carlow","Number","2"
"Fatal Collisions","2019","Dublin","Number","17"
"Fatal Collisions","2019","Kildare","Number","4"
"Fatal Collisions","2019","Kilkenny","Number","6"
"Fatal Collisions","2019","Laois","Number","1"
"Fatal Collisions","2019","Longford","Number","1"
"Fatal Collisions","2019","Louth","Number","3"
"Fatal Collisions","2019","Meath","Number","7"
"Fatal Collisions","2019","Offaly","Number","4"
"Fatal Collisions","2019","Westmeath","Number","3"
"Fatal Collisions","2019","Wexford","Number","7"
"Fatal Collisions","2019","Wicklow","Number","3"
"Fatal Collisions","2019","Clare","Number","4"
"Fatal Collisions","2019","Cork","Number","14"
"Fatal Collisions","2019","Kerry","Number","6"
"Fatal Collisions","2019","Limerick","Number","7"
"Fatal Collisions","2019","Tipperary","Number","13"
"Fatal Collisions","2019","Waterford","Number","3"
"Fatal Collisions","2019","Galway","Number","7"
"Fatal Collisions","2019","Leitrim","Number","1"
"Fatal Collisions","2019","Mayo","Number","3"
"Fatal Collisions","2019","Roscommon","Number","3"
"Fatal Collisions","2019","Sligo","Number","1"
"Fatal Collisions","2019","Cavan","Number","3"
"Fatal Collisions","2019","Donegal","Number","5"
"Fatal Collisions","2019","Monaghan","Number","1"
"Fatal Collisions","2020","All Counties","Number","136"
"Fatal Collisions","2020","Carlow","Number","3"
"Fatal Collisions","2020","Dublin","Number","21"
"Fatal Collisions","2020","Kildare","Number","4"
"Fatal Collisions","2020","Kilkenny","Number","5"
"Fatal Collisions","2020","Laois","Number","0"
"Fatal Collisions","2020","Longford","Number","0"
"Fatal Collisions","2020","Louth","Number","7"
"Fatal Collisions","2020","Meath","Number","7"
"Fatal Collisions","2020","Offaly","Number","4"
"Fatal Collisions","2020","Westmeath","Number","4"
"Fatal Collisions","2020","Wexford","Number","7"
"Fatal Collisions","2020","Wicklow","Number","1"
"Fatal Collisions","2020","Clare","Number","3"
"Fatal Collisions","2020","Cork","Number","21"
"Fatal Collisions","2020","Kerry","Number","8"
"Fatal Collisions","2020","Limerick","Number","4"
"Fatal Collisions","2020","Tipperary","Number","7"
"Fatal Collisions","2020","Waterford","Number","2"
"Fatal Collisions","2020","Galway","Number","5"
"Fatal Collisions","2020","Leitrim","Number","1"
"Fatal Collisions","2020","Mayo","Number","5"
"Fatal Collisions","2020","Roscommon","Number","5"
"Fatal Collisions","2020","Sligo","Number","2"
"Fatal Collisions","2020","Cavan","Number","1"
"Fatal Collisions","2020","Donegal","Number","7"
"Fatal Collisions","2020","Monaghan","Number","2"
"Fatal Collisions","2021","All Counties","Number","124"
"Fatal Collisions","2021","Carlow","Number","0"
"Fatal Collisions","2021","Dublin","Number","19"
"Fatal Collisions","2021","Kildare","Number","7"
"Fatal Collisions","2021","Kilkenny","Number","2"
"Fatal Collisions","2021","Laois","Number","2"
"Fatal Collisions","2021","Longford","Number","3"
"Fatal Collisions","2021","Louth","Number","6"
"Fatal Collisions","2021","Meath","Number","11"
"Fatal Collisions","2021","Offaly","Number","0"
"Fatal Collisions","2021","Westmeath","Number","2"
"Fatal Collisions","2021","Wexford","Number","6"
"Fatal Collisions","2021","Wicklow","Number","1"
"Fatal Collisions","2021","Clare","Number","2"
"Fatal Collisions","2021","Cork","Number","7"
"Fatal Collisions","2021","Kerry","Number","6"
"Fatal Collisions","2021","Limerick","Number","5"
"Fatal Collisions","2021","Tipperary","Number","10"
"Fatal Collisions","2021","Waterford","Number","1"
"Fatal Collisions","2021","Galway","Number","9"
"Fatal Collisions","2021","Leitrim","Number","0"
