"Statistic Label","Year","Day of Week","UNIT","VALUE"
"Fatal Collisions","2019","Wednesday","Number","10"
"Fatal Collisions","2019","Thursday","Number","20"
"Fatal Collisions","2019","Friday","Number","24"
"Fatal Collisions","2019","Saturday","Number","18"
"Fatal Collisions","2020","All days","Number","136"
"Fatal Collisions","2020","Sunday","Number","21"
"Fatal Collisions","2020","Monday","Number","23"
"Fatal Collisions","2020","Tuesday","Number","18"
"Fatal Collisions","2020","Wednesday","Number","22"
"Fatal Collisions","2020","Thursday","Number","13"
"Fatal Collisions","2020","Friday","Number","12"
"Fatal Collisions","2020","Saturday","Number","27"
"Fatal Collisions","2021","All days","Number","124"
"Fatal Collisions","2021","Sunday","Number","16"
"Fatal Collisions","2021","Monday","Number","20"
"Fatal Collisions","2021","Tuesday","Number","22"
"Fatal Collisions","2021","Wednesday","Number","14"
"Fatal Collisions","2021","Thursday","Number","18"
"Fatal Collisions","2021","Friday","Number","13"
"Fatal Collisions","2021","Saturday","Number","21"
"Fatal Collisions","2022","All days","Number","147"
"Fatal Collisions","2022","Sunday","Number","29"
"Fatal Collisions","2022","Monday","Number","17"
"Fatal Collisions","2022","Tuesday","Number","17"
"Fatal Collisions","2022","Wednesday","Number","21"
"Fatal Collisions","2022","Thursday","Number","21"
"Fatal Collisions","2022","Friday","Number","22"
"Fatal Collisions","2022","Saturday","Number","20"
"Injury Collisions","2005","All days","Number","6173"
"Injury Collisions","2005","Sunday","Number","916"
"Injury Collisions","2005","Monday","Number","893"
"Injury Collisions","2005","Tuesday","Number","780"
"Injury Collisions","2005","Wednesday","Number","820"
"Injury Collisions","2005","Thursday","Number","853"
"Injury Collisions","2005","Friday","Number","988"
"Injury Collisions","2005","Saturday","Number","923"
"Injury Collisions","2006","All days","Number","5697"
"Injury Collisions","2006","Sunday","Number","901"
"Injury Collisions","2006","Monday","Number","811"
"Injury Collisions","2006","Tuesday","Number","789"
"Injury Collisions","2006","Wednesday","Number","720"
"Injury Collisions","2006","Thursday","Number","716"
"Injury Collisions","2006","Friday","Number","869"
"Injury Collisions","2006","Saturday","Number","891"
"Injury Collisions","2007","All days","Number","5158"
"Injury Collisions","2007","Sunday","Number","762"
"Injury Collisions","2007","Monday","Number","708"
"Injury Collisions","2007","Tuesday","Number","702"
"Injury Collisions","2007","Wednesday","Number","712"
"Injury Collisions","2007","Thursday","Number","701"
"Injury Collisions","2007","Friday","Number","817"
"Injury Collisions","2007","Saturday","Number","756"
"Injury Collisions","2008","All days","Number","6482"
"Injury Collisions","2008","Sunday","Number","891"
