"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"2002 Population","All ages","Female","Leinster","2002","Number","1067564"
"2002 Population","All ages","Female","Carlow","2002","Number","22611"
"2002 Population","All ages","Female","Dublin","2002","Number","578746"
"2002 Population","All ages","Female","Dublin City","2002","Number","257968"
"2002 Population","All ages","Female","Dún Laoghaire-Rathdown","2002","Number","100455"
"2002 Population","All ages","Female","Fingal","2002","Number","99004"
"2002 Population","All ages","Female","South Dublin","2002","Number","121319"
"2002 Population","All ages","Female","Kildare","2002","Number","81209"
"2002 Population","All ages","Female","Kilkenny","2002","Number","39799"
"2002 Population","All ages","Female","Laois","2002","Number","28643"
"2002 Population","All ages","Female","Longford","2002","Number","15274"
"2002 Population","All ages","Female","Louth","2002","Number","51332"
"2002 Population","All ages","Female","Meath","2002","Number","66272"
"2002 Population","All ages","Female","Offaly","2002","Number","31478"
"2002 Population","All ages","Female","Westmeath","2002","Number","35898"
"2002 Population","All ages","Female","Wexford","2002","Number","58426"
"2002 Population","All ages","Female","Wicklow","2002","Number","57876"
"2002 Population","All ages","Female","Munster","2002","Number","550496"
"2002 Population","All ages","Female","Clare","2002","Number","51214"
"2002 Population","All ages","Female","Cork","2002","Number","225512"
"2002 Population","All ages","Female","Cork City","2002","Number","63799"
"2002 Population","All ages","Female","Cork County","2002","Number","161713"
"2002 Population","All ages","Female","Kerry","2002","Number","65955"
"2002 Population","All ages","Female","Limerick","2002","Number","87673"
"2002 Population","All ages","Female","Limerick City","2002","Number","27895"
"2002 Population","All ages","Female","Limerick County","2002","Number","59778"
"2002 Population","All ages","Female","North Tipperary","2002","Number","30146"
"2002 Population","All ages","Female","South Tipperary","2002","Number","39122"
"2002 Population","All ages","Female","Waterford","2002","Number","50874"
"2002 Population","All ages","Female","Waterford City","2002","Number","22812"
"2002 Population","All ages","Female","Waterford County","2002","Number","28062"
"2002 Population","All ages","Female","Connacht","2002","Number","231102"
"2002 Population","All ages","Female","Galway","2002","Number","104710"
"2002 Population","All ages","Female","Galway City","2002","Number","34817"
"2002 Population","All ages","Female","Galway County","2002","Number","69893"
"2002 Population","All ages","Female","Leitrim","2002","Number","12475"
"2002 Population","All ages","Female","Mayo","2002","Number","58297"
"2002 Population","All ages","Female","Roscommon","2002","Number","26191"
"2002 Population","All ages","Female","Sligo","2002","Number","29429"
"2002 Population","All ages","Female","Ulster (part of)","2002","Number","121877"
"2002 Population","All ages","Female","Cavan","2002","Number","27531"
"2002 Population","All ages","Female","Donegal","2002","Number","68559"
"2002 Population","All ages","Female","Monaghan","2002","Number","25787"
"2002 Population","0 - 4 years","Both sexes","State","2002","Number","277630"
"2002 Population","0 - 4 years","Both sexes","Leinster","2002","Number","151928"
"2002 Population","0 - 4 years","Both sexes","Carlow","2002","Number","3473"
"2002 Population","0 - 4 years","Both sexes","Dublin","2002","Number","74223"
"2002 Population","0 - 4 years","Both sexes","Dublin City","2002","Number","28284"
"2002 Population","0 - 4 years","Both sexes","Dún Laoghaire-Rathdown","2002","Number","11759"
"2002 Population","0 - 4 years","Both sexes","Fingal","2002","Number","15509"
"2002 Population","0 - 4 years","Both sexes","South Dublin","2002","Number","18671"
"2002 Population","0 - 4 years","Both sexes","Kildare","2002","Number","14060"
"2002 Population","0 - 4 years","Both sexes","Kilkenny","2002","Number","5747"
"2002 Population","0 - 4 years","Both sexes","Laois","2002","Number","4700"
"2002 Population","0 - 4 years","Both sexes","Longford","2002","Number","2283"
"2002 Population","0 - 4 years","Both sexes","Louth","2002","Number","8373"
"2002 Population","0 - 4 years","Both sexes","Meath","2002","Number","11205"
"2002 Population","0 - 4 years","Both sexes","Offaly","2002","Number","4897"
"2002 Population","0 - 4 years","Both sexes","Westmeath","2002","Number","5578"
"2002 Population","0 - 4 years","Both sexes","Wexford","2002","Number","8837"
"2002 Population","0 - 4 years","Both sexes","Wicklow","2002","Number","8552"
"2002 Population","0 - 4 years","Both sexes","Munster","2002","Number","76458"
"2002 Population","0 - 4 years","Both sexes","Clare","2002","Number","7633"
"2002 Population","0 - 4 years","Both sexes","Cork","2002","Number","31115"
"2002 Population","0 - 4 years","Both sexes","Cork City","2002","Number","6781"
"2002 Population","0 - 4 years","Both sexes","Cork County","2002","Number","24334"
"2002 Population","0 - 4 years","Both sexes","Kerry","2002","Number","8550"
"2002 Population","0 - 4 years","Both sexes","Limerick","2002","Number","11879"
"2002 Population","0 - 4 years","Both sexes","Limerick City","2002","Number","3697"
"2002 Population","0 - 4 years","Both sexes","Limerick County","2002","Number","8182"
"2002 Population","0 - 4 years","Both sexes","North Tipperary","2002","Number","4395"
"2002 Population","0 - 4 years","Both sexes","South Tipperary","2002","Number","5567"
"2002 Population","0 - 4 years","Both sexes","Waterford","2002","Number","7319"
"2002 Population","0 - 4 years","Both sexes","Waterford City","2002","Number","3155"
"2002 Population","0 - 4 years","Both sexes","Waterford County","2002","Number","4164"
"2002 Population","0 - 4 years","Both sexes","Connacht","2002","Number","30957"
