"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"2002 Population","15 - 19 years","Female","Westmeath","2002","Number","2909"
"2002 Population","15 - 19 years","Female","Wexford","2002","Number","4429"
"2002 Population","15 - 19 years","Female","Wicklow","2002","Number","4431"
"2002 Population","15 - 19 years","Female","Munster","2002","Number","43215"
"2002 Population","15 - 19 years","Female","Clare","2002","Number","3678"
"2002 Population","15 - 19 years","Female","Cork","2002","Number","17593"
"2002 Population","15 - 19 years","Female","Cork City","2002","Number","5160"
"2002 Population","15 - 19 years","Female","Cork County","2002","Number","12433"
"2002 Population","15 - 19 years","Female","Kerry","2002","Number","5039"
"2002 Population","15 - 19 years","Female","Limerick","2002","Number","7417"
"2002 Population","15 - 19 years","Female","Limerick City","2002","Number","2294"
"2002 Population","15 - 19 years","Female","Limerick County","2002","Number","5123"
"2002 Population","15 - 19 years","Female","North Tipperary","2002","Number","2417"
"2002 Population","15 - 19 years","Female","South Tipperary","2002","Number","3086"
"2002 Population","15 - 19 years","Female","Waterford","2002","Number","3985"
"2002 Population","15 - 19 years","Female","Waterford City","2002","Number","1841"
"2002 Population","15 - 19 years","Female","Waterford County","2002","Number","2144"
"2002 Population","15 - 19 years","Female","Connacht","2002","Number","19054"
"2002 Population","15 - 19 years","Female","Galway","2002","Number","8881"
"2002 Population","15 - 19 years","Female","Galway City","2002","Number","3430"
"2002 Population","15 - 19 years","Female","Galway County","2002","Number","5451"
"2002 Population","15 - 19 years","Female","Leitrim","2002","Number","951"
"2002 Population","15 - 19 years","Female","Mayo","2002","Number","4653"
"2002 Population","15 - 19 years","Female","Roscommon","2002","Number","2085"
"2002 Population","15 - 19 years","Female","Sligo","2002","Number","2484"
"2002 Population","15 - 19 years","Female","Ulster (part of)","2002","Number","9977"
"2002 Population","15 - 19 years","Female","Cavan","2002","Number","2260"
"2002 Population","15 - 19 years","Female","Donegal","2002","Number","5475"
"2002 Population","15 - 19 years","Female","Monaghan","2002","Number","2242"
"2002 Population","20 - 24 years","Both sexes","State","2002","Number","328334"
"2002 Population","20 - 24 years","Both sexes","Leinster","2002","Number","188411"
"2002 Population","20 - 24 years","Both sexes","Carlow","2002","Number","3971"
"2002 Population","20 - 24 years","Both sexes","Dublin","2002","Number","114824"
"2002 Population","20 - 24 years","Both sexes","Dublin City","2002","Number","56605"
"2002 Population","20 - 24 years","Both sexes","Dún Laoghaire-Rathdown","2002","Number","17331"
"2002 Population","20 - 24 years","Both sexes","Fingal","2002","Number","17508"
"2002 Population","20 - 24 years","Both sexes","South Dublin","2002","Number","23380"
"2002 Population","20 - 24 years","Both sexes","Kildare","2002","Number","13448"
"2002 Population","20 - 24 years","Both sexes","Kilkenny","2002","Number","5312"
"2002 Population","20 - 24 years","Both sexes","Laois","2002","Number","4165"
"2002 Population","20 - 24 years","Both sexes","Longford","2002","Number","1982"
"2002 Population","20 - 24 years","Both sexes","Louth","2002","Number","8316"
"2002 Population","20 - 24 years","Both sexes","Meath","2002","Number","9817"
"2002 Population","20 - 24 years","Both sexes","Offaly","2002","Number","4483"
"2002 Population","20 - 24 years","Both sexes","Westmeath","2002","Number","5479"
"2002 Population","20 - 24 years","Both sexes","Wexford","2002","Number","8005"
"2002 Population","20 - 24 years","Both sexes","Wicklow","2002","Number","8609"
"2002 Population","20 - 24 years","Both sexes","Munster","2002","Number","88042"
"2002 Population","20 - 24 years","Both sexes","Clare","2002","Number","6898"
"2002 Population","20 - 24 years","Both sexes","Cork","2002","Number","37436"
"2002 Population","20 - 24 years","Both sexes","Cork City","2002","Number","14859"
"2002 Population","20 - 24 years","Both sexes","Cork County","2002","Number","22577"
"2002 Population","20 - 24 years","Both sexes","Kerry","2002","Number","8961"
"2002 Population","20 - 24 years","Both sexes","Limerick","2002","Number","17176"
"2002 Population","20 - 24 years","Both sexes","Limerick City","2002","Number","5949"
"2002 Population","20 - 24 years","Both sexes","Limerick County","2002","Number","11227"
"2002 Population","20 - 24 years","Both sexes","North Tipperary","2002","Number","3974"
"2002 Population","20 - 24 years","Both sexes","South Tipperary","2002","Number","5326"
"2002 Population","20 - 24 years","Both sexes","Waterford","2002","Number","8271"
"2002 Population","20 - 24 years","Both sexes","Waterford City","2002","Number","4512"
"2002 Population","20 - 24 years","Both sexes","Waterford County","2002","Number","3759"
"2002 Population","20 - 24 years","Both sexes","Connacht","2002","Number","35104"
"2002 Population","20 - 24 years","Both sexes","Galway","2002","Number","19437"
"2002 Population","20 - 24 years","Both sexes","Galway City","2002","Number","10682"
"2002 Population","20 - 24 years","Both sexes","Galway County","2002","Number","8755"
"2002 Population","20 - 24 years","Both sexes","Leitrim","2002","Number","1422"
"2002 Population","20 - 24 years","Both sexes","Mayo","2002","Number","6827"
"2002 Population","20 - 24 years","Both sexes","Roscommon","2002","Number","3004"
"2002 Population","20 - 24 years","Both sexes","Sligo","2002","Number","4414"
"2002 Population","20 - 24 years","Both sexes","Ulster (part of)","2002","Number","16777"
"2002 Population","20 - 24 years","Both sexes","Cavan","2002","Number","3719"
"2002 Population","20 - 24 years","Both sexes","Donegal","2002","Number","9219"
"2002 Population","20 - 24 years","Both sexes","Monaghan","2002","Number","3839"
"2002 Population","20 - 24 years","Male","State","2002","Number","165292"
"2002 Population","20 - 24 years","Male","Leinster","2002","Number","93926"
"2002 Population","20 - 24 years","Male","Carlow","2002","Number","2128"
"2002 Population","20 - 24 years","Male","Dublin","2002","Number","55834"
"2002 Population","20 - 24 years","Male","Dublin City","2002","Number","26620"
"2002 Population","20 - 24 years","Male","Dún Laoghaire-Rathdown","2002","Number","8608"
"2002 Population","20 - 24 years","Male","Fingal","2002","Number","8809"
"2002 Population","20 - 24 years","Male","South Dublin","2002","Number","11797"
"2002 Population","20 - 24 years","Male","Kildare","2002","Number","6773"
"2002 Population","20 - 24 years","Male","Kilkenny","2002","Number","2855"
"2002 Population","20 - 24 years","Male","Laois","2002","Number","2269"
"2002 Population","20 - 24 years","Male","Longford","2002","Number","1091"
"2002 Population","20 - 24 years","Male","Louth","2002","Number","4181"
"2002 Population","20 - 24 years","Male","Meath","2002","Number","5179"
"2002 Population","20 - 24 years","Male","Offaly","2002","Number","2306"
"2002 Population","20 - 24 years","Male","Westmeath","2002","Number","2780"
"2002 Population","20 - 24 years","Male","Wexford","2002","Number","4128"
"2002 Population","20 - 24 years","Male","Wicklow","2002","Number","4402"
"2002 Population","20 - 24 years","Male","Munster","2002","Number","44783"
"2002 Population","20 - 24 years","Male","Clare","2002","Number","3603"
"2002 Population","20 - 24 years","Male","Cork","2002","Number","18738"
"2002 Population","20 - 24 years","Male","Cork City","2002","Number","6834"
"2002 Population","20 - 24 years","Male","Cork County","2002","Number","11904"
"2002 Population","20 - 24 years","Male","Kerry","2002","Number","4684"
"2002 Population","20 - 24 years","Male","Limerick","2002","Number","8525"
"2002 Population","20 - 24 years","Male","Limerick City","2002","Number","2663"
"2002 Population","20 - 24 years","Male","Limerick County","2002","Number","5862"
"2002 Population","20 - 24 years","Male","North Tipperary","2002","Number","2190"
"2002 Population","20 - 24 years","Male","South Tipperary","2002","Number","2827"
"2002 Population","20 - 24 years","Male","Waterford","2002","Number","4216"
"2002 Population","20 - 24 years","Male","Waterford City","2002","Number","2188"
"2002 Population","20 - 24 years","Male","Waterford County","2002","Number","2028"
"2002 Population","20 - 24 years","Male","Connacht","2002","Number","17784"
"2002 Population","20 - 24 years","Male","Galway","2002","Number","9575"
"2002 Population","20 - 24 years","Male","Galway City","2002","Number","4833"
"2002 Population","20 - 24 years","Male","Galway County","2002","Number","4742"
"2002 Population","20 - 24 years","Male","Leitrim","2002","Number","778"
"2002 Population","20 - 24 years","Male","Mayo","2002","Number","3565"
"2002 Population","20 - 24 years","Male","Roscommon","2002","Number","1680"
"2002 Population","20 - 24 years","Male","Sligo","2002","Number","2186"
"2002 Population","20 - 24 years","Male","Ulster (part of)","2002","Number","8799"
"2002 Population","20 - 24 years","Male","Cavan","2002","Number","2018"
"2002 Population","20 - 24 years","Male","Donegal","2002","Number","4680"
"2002 Population","20 - 24 years","Male","Monaghan","2002","Number","2101"
"2002 Population","20 - 24 years","Female","State","2002","Number","163042"
"2002 Population","20 - 24 years","Female","Leinster","2002","Number","94485"
"2002 Population","20 - 24 years","Female","Carlow","2002","Number","1843"
"2002 Population","20 - 24 years","Female","Dublin","2002","Number","58990"
"2002 Population","20 - 24 years","Female","Dublin City","2002","Number","29985"
"2002 Population","20 - 24 years","Female","Dún Laoghaire-Rathdown","2002","Number","8723"
"2002 Population","20 - 24 years","Female","Fingal","2002","Number","8699"
"2002 Population","20 - 24 years","Female","South Dublin","2002","Number","11583"
"2002 Population","20 - 24 years","Female","Kildare","2002","Number","6675"
"2002 Population","20 - 24 years","Female","Kilkenny","2002","Number","2457"
"2002 Population","20 - 24 years","Female","Laois","2002","Number","1896"
"2002 Population","20 - 24 years","Female","Longford","2002","Number","891"
"2002 Population","20 - 24 years","Female","Louth","2002","Number","4135"
"2002 Population","20 - 24 years","Female","Meath","2002","Number","4638"
"2002 Population","20 - 24 years","Female","Offaly","2002","Number","2177"
"2002 Population","20 - 24 years","Female","Westmeath","2002","Number","2699"
"2002 Population","20 - 24 years","Female","Wexford","2002","Number","3877"
"2002 Population","20 - 24 years","Female","Wicklow","2002","Number","4207"
"2002 Population","20 - 24 years","Female","Munster","2002","Number","43259"
"2002 Population","20 - 24 years","Female","Clare","2002","Number","3295"
"2002 Population","20 - 24 years","Female","Cork","2002","Number","18698"
"2002 Population","20 - 24 years","Female","Cork City","2002","Number","8025"
"2002 Population","20 - 24 years","Female","Cork County","2002","Number","10673"
"2002 Population","20 - 24 years","Female","Kerry","2002","Number","4277"
"2002 Population","20 - 24 years","Female","Limerick","2002","Number","8651"
"2002 Population","20 - 24 years","Female","Limerick City","2002","Number","3286"
"2002 Population","20 - 24 years","Female","Limerick County","2002","Number","5365"
"2002 Population","20 - 24 years","Female","North Tipperary","2002","Number","1784"
"2002 Population","20 - 24 years","Female","South Tipperary","2002","Number","2499"
"2002 Population","20 - 24 years","Female","Waterford","2002","Number","4055"
"2002 Population","20 - 24 years","Female","Waterford City","2002","Number","2324"
"2002 Population","20 - 24 years","Female","Waterford County","2002","Number","1731"
"2002 Population","20 - 24 years","Female","Connacht","2002","Number","17320"
"2002 Population","20 - 24 years","Female","Galway","2002","Number","9862"
"2002 Population","20 - 24 years","Female","Galway City","2002","Number","5849"
"2002 Population","20 - 24 years","Female","Galway County","2002","Number","4013"
"2002 Population","20 - 24 years","Female","Leitrim","2002","Number","644"
"2002 Population","20 - 24 years","Female","Mayo","2002","Number","3262"
"2002 Population","20 - 24 years","Female","Roscommon","2002","Number","1324"
"2002 Population","20 - 24 years","Female","Sligo","2002","Number","2228"
"2002 Population","20 - 24 years","Female","Ulster (part of)","2002","Number","7978"
"2002 Population","20 - 24 years","Female","Cavan","2002","Number","1701"
"2002 Population","20 - 24 years","Female","Donegal","2002","Number","4539"
"2002 Population","20 - 24 years","Female","Monaghan","2002","Number","1738"
"2002 Population","25 - 29 years","Both sexes","State","2002","Number","312693"
"2002 Population","25 - 29 years","Both sexes","Leinster","2002","Number","184948"
"2002 Population","25 - 29 years","Both sexes","Carlow","2002","Number","3537"
"2002 Population","25 - 29 years","Both sexes","Dublin","2002","Number","111915"
"2002 Population","25 - 29 years","Both sexes","Dublin City","2002","Number","57249"
"2002 Population","25 - 29 years","Both sexes","Dún Laoghaire-Rathdown","2002","Number","14346"
"2002 Population","25 - 29 years","Both sexes","Fingal","2002","Number","18252"
"2002 Population","25 - 29 years","Both sexes","South Dublin","2002","Number","22068"
"2002 Population","25 - 29 years","Both sexes","Kildare","2002","Number","13754"
"2002 Population","25 - 29 years","Both sexes","Kilkenny","2002","Number","5552"
"2002 Population","25 - 29 years","Both sexes","Laois","2002","Number","4160"
"2002 Population","25 - 29 years","Both sexes","Longford","2002","Number","1891"
"2002 Population","25 - 29 years","Both sexes","Louth","2002","Number","8066"
"2002 Population","25 - 29 years","Both sexes","Meath","2002","Number","10164"
"2002 Population","25 - 29 years","Both sexes","Offaly","2002","Number","4496"
"2002 Population","25 - 29 years","Both sexes","Westmeath","2002","Number","5263"
"2002 Population","25 - 29 years","Both sexes","Wexford","2002","Number","8047"
"2002 Population","25 - 29 years","Both sexes","Wicklow","2002","Number","8103"
"2002 Population","25 - 29 years","Both sexes","Munster","2002","Number","80173"
"2002 Population","25 - 29 years","Both sexes","Clare","2002","Number","7103"
"2002 Population","25 - 29 years","Both sexes","Cork","2002","Number","34110"
"2002 Population","25 - 29 years","Both sexes","Cork City","2002","Number","10914"
"2002 Population","25 - 29 years","Both sexes","Cork County","2002","Number","23196"
"2002 Population","25 - 29 years","Both sexes","Kerry","2002","Number","8639"
"2002 Population","25 - 29 years","Both sexes","Limerick","2002","Number","13780"
"2002 Population","25 - 29 years","Both sexes","Limerick City","2002","Number","5134"
"2002 Population","25 - 29 years","Both sexes","Limerick County","2002","Number","8646"
"2002 Population","25 - 29 years","Both sexes","North Tipperary","2002","Number","4031"
"2002 Population","25 - 29 years","Both sexes","South Tipperary","2002","Number","5226"
"2002 Population","25 - 29 years","Both sexes","Waterford","2002","Number","7284"
"2002 Population","25 - 29 years","Both sexes","Waterford City","2002","Number","3670"
"2002 Population","25 - 29 years","Both sexes","Waterford County","2002","Number","3614"
"2002 Population","25 - 29 years","Both sexes","Connacht","2002","Number","31337"
"2002 Population","25 - 29 years","Both sexes","Galway","2002","Number","16226"
"2002 Population","25 - 29 years","Both sexes","Galway City","2002","Number","7508"
"2002 Population","25 - 29 years","Both sexes","Galway County","2002","Number","8718"
"2002 Population","25 - 29 years","Both sexes","Leitrim","2002","Number","1390"
"2002 Population","25 - 29 years","Both sexes","Mayo","2002","Number","7071"
"2002 Population","25 - 29 years","Both sexes","Roscommon","2002","Number","2947"
"2002 Population","25 - 29 years","Both sexes","Sligo","2002","Number","3703"
"2002 Population","25 - 29 years","Both sexes","Ulster (part of)","2002","Number","16235"
"2002 Population","25 - 29 years","Both sexes","Cavan","2002","Number","3575"
"2002 Population","25 - 29 years","Both sexes","Donegal","2002","Number","9007"
"2002 Population","25 - 29 years","Both sexes","Monaghan","2002","Number","3653"
"2002 Population","25 - 29 years","Male","State","2002","Number","156100"
"2002 Population","25 - 29 years","Male","Leinster","2002","Number","91575"
"2002 Population","25 - 29 years","Male","Carlow","2002","Number","1808"
"2002 Population","25 - 29 years","Male","Dublin","2002","Number","54860"
"2002 Population","25 - 29 years","Male","Dublin City","2002","Number","27929"
"2002 Population","25 - 29 years","Male","Dún Laoghaire-Rathdown","2002","Number","7013"
"2002 Population","25 - 29 years","Male","Fingal","2002","Number","8918"
"2002 Population","25 - 29 years","Male","South Dublin","2002","Number","11000"
"2002 Population","25 - 29 years","Male","Kildare","2002","Number","6911"
"2002 Population","25 - 29 years","Male","Kilkenny","2002","Number","2822"
"2002 Population","25 - 29 years","Male","Laois","2002","Number","2221"
"2002 Population","25 - 29 years","Male","Longford","2002","Number","1008"
"2002 Population","25 - 29 years","Male","Louth","2002","Number","3939"
"2002 Population","25 - 29 years","Male","Meath","2002","Number","5093"
"2002 Population","25 - 29 years","Male","Offaly","2002","Number","2325"
"2002 Population","25 - 29 years","Male","Westmeath","2002","Number","2565"
"2002 Population","25 - 29 years","Male","Wexford","2002","Number","4042"
"2002 Population","25 - 29 years","Male","Wicklow","2002","Number","3981"
"2002 Population","25 - 29 years","Male","Munster","2002","Number","40528"
"2002 Population","25 - 29 years","Male","Clare","2002","Number","3555"
"2002 Population","25 - 29 years","Male","Cork","2002","Number","17109"
"2002 Population","25 - 29 years","Male","Cork City","2002","Number","5462"
"2002 Population","25 - 29 years","Male","Cork County","2002","Number","11647"
"2002 Population","25 - 29 years","Male","Kerry","2002","Number","4427"
"2002 Population","25 - 29 years","Male","Limerick","2002","Number","7021"
"2002 Population","25 - 29 years","Male","Limerick City","2002","Number","2552"
"2002 Population","25 - 29 years","Male","Limerick County","2002","Number","4469"
"2002 Population","25 - 29 years","Male","North Tipperary","2002","Number","2104"
"2002 Population","25 - 29 years","Male","South Tipperary","2002","Number","2673"
"2002 Population","25 - 29 years","Male","Waterford","2002","Number","3639"
"2002 Population","25 - 29 years","Male","Waterford City","2002","Number","1787"
"2002 Population","25 - 29 years","Male","Waterford County","2002","Number","1852"
"2002 Population","25 - 29 years","Male","Connacht","2002","Number","15708"
"2002 Population","25 - 29 years","Male","Galway","2002","Number","7983"
"2002 Population","25 - 29 years","Male","Galway City","2002","Number","3554"
"2002 Population","25 - 29 years","Male","Galway County","2002","Number","4429"
"2002 Population","25 - 29 years","Male","Leitrim","2002","Number","753"
"2002 Population","25 - 29 years","Male","Mayo","2002","Number","3607"
"2002 Population","25 - 29 years","Male","Roscommon","2002","Number","1575"
"2002 Population","25 - 29 years","Male","Sligo","2002","Number","1790"
"2002 Population","25 - 29 years","Male","Ulster (part of)","2002","Number","8289"
"2002 Population","25 - 29 years","Male","Cavan","2002","Number","1843"
"2002 Population","25 - 29 years","Male","Donegal","2002","Number","4480"
"2002 Population","25 - 29 years","Male","Monaghan","2002","Number","1966"
"2002 Population","25 - 29 years","Female","State","2002","Number","156593"
"2002 Population","25 - 29 years","Female","Leinster","2002","Number","93373"
"2002 Population","25 - 29 years","Female","Carlow","2002","Number","1729"
"2002 Population","25 - 29 years","Female","Dublin","2002","Number","57055"
"2002 Population","25 - 29 years","Female","Dublin City","2002","Number","29320"
"2002 Population","25 - 29 years","Female","Dún Laoghaire-Rathdown","2002","Number","7333"
"2002 Population","25 - 29 years","Female","Fingal","2002","Number","9334"
"2002 Population","25 - 29 years","Female","South Dublin","2002","Number","11068"
"2002 Population","25 - 29 years","Female","Kildare","2002","Number","6843"
"2002 Population","25 - 29 years","Female","Kilkenny","2002","Number","2730"
"2002 Population","25 - 29 years","Female","Laois","2002","Number","1939"
"2002 Population","25 - 29 years","Female","Longford","2002","Number","883"
"2002 Population","25 - 29 years","Female","Louth","2002","Number","4127"
"2002 Population","25 - 29 years","Female","Meath","2002","Number","5071"
"2002 Population","25 - 29 years","Female","Offaly","2002","Number","2171"
"2002 Population","25 - 29 years","Female","Westmeath","2002","Number","2698"
"2002 Population","25 - 29 years","Female","Wexford","2002","Number","4005"
"2002 Population","25 - 29 years","Female","Wicklow","2002","Number","4122"
"2002 Population","25 - 29 years","Female","Munster","2002","Number","39645"
"2002 Population","25 - 29 years","Female","Clare","2002","Number","3548"
"2002 Population","25 - 29 years","Female","Cork","2002","Number","17001"
"2002 Population","25 - 29 years","Female","Cork City","2002","Number","5452"
"2002 Population","25 - 29 years","Female","Cork County","2002","Number","11549"
"2002 Population","25 - 29 years","Female","Kerry","2002","Number","4212"
"2002 Population","25 - 29 years","Female","Limerick","2002","Number","6759"
"2002 Population","25 - 29 years","Female","Limerick City","2002","Number","2582"
"2002 Population","25 - 29 years","Female","Limerick County","2002","Number","4177"
"2002 Population","25 - 29 years","Female","North Tipperary","2002","Number","1927"
"2002 Population","25 - 29 years","Female","South Tipperary","2002","Number","2553"
"2002 Population","25 - 29 years","Female","Waterford","2002","Number","3645"
"2002 Population","25 - 29 years","Female","Waterford City","2002","Number","1883"
"2002 Population","25 - 29 years","Female","Waterford County","2002","Number","1762"
"2002 Population","25 - 29 years","Female","Connacht","2002","Number","15629"
"2002 Population","25 - 29 years","Female","Galway","2002","Number","8243"
"2002 Population","25 - 29 years","Female","Galway City","2002","Number","3954"
"2002 Population","25 - 29 years","Female","Galway County","2002","Number","4289"
"2002 Population","25 - 29 years","Female","Leitrim","2002","Number","637"
"2002 Population","25 - 29 years","Female","Mayo","2002","Number","3464"
"2002 Population","25 - 29 years","Female","Roscommon","2002","Number","1372"
"2002 Population","25 - 29 years","Female","Sligo","2002","Number","1913"
"2002 Population","25 - 29 years","Female","Ulster (part of)","2002","Number","7946"
"2002 Population","25 - 29 years","Female","Cavan","2002","Number","1732"
"2002 Population","25 - 29 years","Female","Donegal","2002","Number","4527"
"2002 Population","25 - 29 years","Female","Monaghan","2002","Number","1687"
"2002 Population","30 - 34 years","Both sexes","State","2002","Number","304676"
"2002 Population","30 - 34 years","Both sexes","Leinster","2002","Number","174407"
"2002 Population","30 - 34 years","Both sexes","Carlow","2002","Number","3555"
"2002 Population","30 - 34 years","Both sexes","Dublin","2002","Number","96439"
"2002 Population","30 - 34 years","Both sexes","Dublin City","2002","Number","44736"
"2002 Population","30 - 34 years","Both sexes","Dún Laoghaire-Rathdown","2002","Number","13443"
"2002 Population","30 - 34 years","Both sexes","Fingal","2002","Number","17748"
"2002 Population","30 - 34 years","Both sexes","South Dublin","2002","Number","20512"
"2002 Population","30 - 34 years","Both sexes","Kildare","2002","Number","14862"
"2002 Population","30 - 34 years","Both sexes","Kilkenny","2002","Number","5709"
"2002 Population","30 - 34 years","Both sexes","Laois","2002","Number","4439"
"2002 Population","30 - 34 years","Both sexes","Longford","2002","Number","2051"
"2002 Population","30 - 34 years","Both sexes","Louth","2002","Number","8370"
"2002 Population","30 - 34 years","Both sexes","Meath","2002","Number","11278"
"2002 Population","30 - 34 years","Both sexes","Offaly","2002","Number","4690"
"2002 Population","30 - 34 years","Both sexes","Westmeath","2002","Number","5537"
"2002 Population","30 - 34 years","Both sexes","Wexford","2002","Number","8658"
"2002 Population","30 - 34 years","Both sexes","Wicklow","2002","Number","8819"
"2002 Population","30 - 34 years","Both sexes","Munster","2002","Number","81312"
"2002 Population","30 - 34 years","Both sexes","Clare","2002","Number","7775"
"2002 Population","30 - 34 years","Both sexes","Cork","2002","Number","34096"
"2002 Population","30 - 34 years","Both sexes","Cork City","2002","Number","8519"
"2002 Population","30 - 34 years","Both sexes","Cork County","2002","Number","25577"
"2002 Population","30 - 34 years","Both sexes","Kerry","2002","Number","9373"
"2002 Population","30 - 34 years","Both sexes","Limerick","2002","Number","12920"
"2002 Population","30 - 34 years","Both sexes","Limerick City","2002","Number","4179"
"2002 Population","30 - 34 years","Both sexes","Limerick County","2002","Number","8741"
"2002 Population","30 - 34 years","Both sexes","North Tipperary","2002","Number","4144"
"2002 Population","30 - 34 years","Both sexes","South Tipperary","2002","Number","5586"
"2002 Population","30 - 34 years","Both sexes","Waterford","2002","Number","7418"
"2002 Population","30 - 34 years","Both sexes","Waterford City","2002","Number","3463"
"2002 Population","30 - 34 years","Both sexes","Waterford County","2002","Number","3955"
"2002 Population","30 - 34 years","Both sexes","Connacht","2002","Number","31856"
"2002 Population","30 - 34 years","Both sexes","Galway","2002","Number","15501"
"2002 Population","30 - 34 years","Both sexes","Galway City","2002","Number","5423"
"2002 Population","30 - 34 years","Both sexes","Galway County","2002","Number","10078"
"2002 Population","30 - 34 years","Both sexes","Leitrim","2002","Number","1634"
"2002 Population","30 - 34 years","Both sexes","Mayo","2002","Number","7585"
"2002 Population","30 - 34 years","Both sexes","Roscommon","2002","Number","3396"
"2002 Population","30 - 34 years","Both sexes","Sligo","2002","Number","3740"
"2002 Population","30 - 34 years","Both sexes","Ulster (part of)","2002","Number","17101"
"2002 Population","30 - 34 years","Both sexes","Cavan","2002","Number","3796"
"2002 Population","30 - 34 years","Both sexes","Donegal","2002","Number","9660"
"2002 Population","30 - 34 years","Both sexes","Monaghan","2002","Number","3645"
"2002 Population","30 - 34 years","Male","State","2002","Number","152377"
"2002 Population","30 - 34 years","Male","Leinster","2002","Number","86800"
"2002 Population","30 - 34 years","Male","Carlow","2002","Number","1786"
"2002 Population","30 - 34 years","Male","Dublin","2002","Number","47727"
"2002 Population","30 - 34 years","Male","Dublin City","2002","Number","22493"
"2002 Population","30 - 34 years","Male","Dún Laoghaire-Rathdown","2002","Number","6444"
"2002 Population","30 - 34 years","Male","Fingal","2002","Number","8760"
"2002 Population","30 - 34 years","Male","South Dublin","2002","Number","10030"
"2002 Population","30 - 34 years","Male","Kildare","2002","Number","7514"
"2002 Population","30 - 34 years","Male","Kilkenny","2002","Number","2877"
"2002 Population","30 - 34 years","Male","Laois","2002","Number","2307"
"2002 Population","30 - 34 years","Male","Longford","2002","Number","1016"
"2002 Population","30 - 34 years","Male","Louth","2002","Number","4184"
"2002 Population","30 - 34 years","Male","Meath","2002","Number","5613"
"2002 Population","30 - 34 years","Male","Offaly","2002","Number","2344"
"2002 Population","30 - 34 years","Male","Westmeath","2002","Number","2773"
"2002 Population","30 - 34 years","Male","Wexford","2002","Number","4339"
"2002 Population","30 - 34 years","Male","Wicklow","2002","Number","4320"
"2002 Population","30 - 34 years","Male","Munster","2002","Number","40970"
"2002 Population","30 - 34 years","Male","Clare","2002","Number","3858"
"2002 Population","30 - 34 years","Male","Cork","2002","Number","17015"
"2002 Population","30 - 34 years","Male","Cork City","2002","Number","4246"
"2002 Population","30 - 34 years","Male","Cork County","2002","Number","12769"
"2002 Population","30 - 34 years","Male","Kerry","2002","Number","4829"
"2002 Population","30 - 34 years","Male","Limerick","2002","Number","6631"
"2002 Population","30 - 34 years","Male","Limerick City","2002","Number","2127"
"2002 Population","30 - 34 years","Male","Limerick County","2002","Number","4504"
"2002 Population","30 - 34 years","Male","North Tipperary","2002","Number","2117"
"2002 Population","30 - 34 years","Male","South Tipperary","2002","Number","2815"
"2002 Population","30 - 34 years","Male","Waterford","2002","Number","3705"
"2002 Population","30 - 34 years","Male","Waterford City","2002","Number","1726"
"2002 Population","30 - 34 years","Male","Waterford County","2002","Number","1979"
"2002 Population","30 - 34 years","Male","Connacht","2002","Number","15948"
"2002 Population","30 - 34 years","Male","Galway","2002","Number","7621"
"2002 Population","30 - 34 years","Male","Galway City","2002","Number","2606"
"2002 Population","30 - 34 years","Male","Galway County","2002","Number","5015"
"2002 Population","30 - 34 years","Male","Leitrim","2002","Number","831"
"2002 Population","30 - 34 years","Male","Mayo","2002","Number","3859"
"2002 Population","30 - 34 years","Male","Roscommon","2002","Number","1784"
"2002 Population","30 - 34 years","Male","Sligo","2002","Number","1853"
"2002 Population","30 - 34 years","Male","Ulster (part of)","2002","Number","8659"
"2002 Population","30 - 34 years","Male","Cavan","2002","Number","1950"
"2002 Population","30 - 34 years","Male","Donegal","2002","Number","4791"
"2002 Population","30 - 34 years","Male","Monaghan","2002","Number","1918"
"2002 Population","30 - 34 years","Female","State","2002","Number","152299"
"2002 Population","30 - 34 years","Female","Leinster","2002","Number","87607"
"2002 Population","30 - 34 years","Female","Carlow","2002","Number","1769"
"2002 Population","30 - 34 years","Female","Dublin","2002","Number","48712"
"2002 Population","30 - 34 years","Female","Dublin City","2002","Number","22243"
"2002 Population","30 - 34 years","Female","Dún Laoghaire-Rathdown","2002","Number","6999"
"2002 Population","30 - 34 years","Female","Fingal","2002","Number","8988"
"2002 Population","30 - 34 years","Female","South Dublin","2002","Number","10482"
"2002 Population","30 - 34 years","Female","Kildare","2002","Number","7348"
"2002 Population","30 - 34 years","Female","Kilkenny","2002","Number","2832"
"2002 Population","30 - 34 years","Female","Laois","2002","Number","2132"
"2002 Population","30 - 34 years","Female","Longford","2002","Number","1035"
"2002 Population","30 - 34 years","Female","Louth","2002","Number","4186"
"2002 Population","30 - 34 years","Female","Meath","2002","Number","5665"
"2002 Population","30 - 34 years","Female","Offaly","2002","Number","2346"
"2002 Population","30 - 34 years","Female","Westmeath","2002","Number","2764"
"2002 Population","30 - 34 years","Female","Wexford","2002","Number","4319"
"2002 Population","30 - 34 years","Female","Wicklow","2002","Number","4499"
"2002 Population","30 - 34 years","Female","Munster","2002","Number","40342"
"2002 Population","30 - 34 years","Female","Clare","2002","Number","3917"
"2002 Population","30 - 34 years","Female","Cork","2002","Number","17081"
"2002 Population","30 - 34 years","Female","Cork City","2002","Number","4273"
"2002 Population","30 - 34 years","Female","Cork County","2002","Number","12808"
"2002 Population","30 - 34 years","Female","Kerry","2002","Number","4544"
