"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"Population","All ages","Both sexes","State","2006","Number","4239848"
"Population","All ages","Both sexes","Leinster","2006","Number","2295123"
"Population","All ages","Both sexes","Carlow","2006","Number","50349"
"Population","All ages","Both sexes","Dublin","2006","Number","1187176"
"Population","All ages","Both sexes","Dublin City","2006","Number","506211"
"Population","All ages","Both sexes","Dún Laoghaire-Rathdown","2006","Number","194038"
"Population","All ages","Both sexes","Fingal","2006","Number","239992"
"Population","All ages","Both sexes","South Dublin","2006","Number","246935"
"Population","All ages","Both sexes","Kildare","2006","Number","186335"
"Population","All ages","Both sexes","Kilkenny","2006","Number","87558"
"Population","All ages","Both sexes","Laois","2006","Number","67059"
"Population","All ages","Both sexes","Longford","2006","Number","34391"
"Population","All ages","Both sexes","Louth","2006","Number","111267"
"Population","All ages","Both sexes","Meath","2006","Number","162831"
"Population","All ages","Both sexes","Offaly","2006","Number","70868"
"Population","All ages","Both sexes","Westmeath","2006","Number","79346"
"Population","All ages","Both sexes","Wexford","2006","Number","131749"
"Population","All ages","Both sexes","Wicklow","2006","Number","126194"
"Population","All ages","Both sexes","Munster","2006","Number","1173340"
"Population","All ages","Both sexes","Clare","2006","Number","110950"
"Population","All ages","Both sexes","Cork","2006","Number","481295"
"Population","All ages","Both sexes","Cork City","2006","Number","119418"
"Population","All ages","Both sexes","Cork County","2006","Number","361877"
"Population","All ages","Both sexes","Kerry","2006","Number","139835"
"Population","All ages","Both sexes","Limerick","2006","Number","184055"
"Population","All ages","Both sexes","Limerick City","2006","Number","52539"
"Population","All ages","Both sexes","Limerick County","2006","Number","131516"
"Population","All ages","Both sexes","North Tipperary","2006","Number","66023"
"Population","All ages","Both sexes","South Tipperary","2006","Number","83221"
"Population","All ages","Both sexes","Waterford","2006","Number","107961"
"Population","All ages","Both sexes","Waterford City","2006","Number","45748"
"Population","All ages","Both sexes","Waterford County","2006","Number","62213"
"Population","All ages","Both sexes","Connacht","2006","Number","504121"
"Population","All ages","Both sexes","Galway","2006","Number","231670"
"Population","All ages","Both sexes","Galway City","2006","Number","72414"
"Population","All ages","Both sexes","Galway County","2006","Number","159256"
"Population","All ages","Both sexes","Leitrim","2006","Number","28950"
"Population","All ages","Both sexes","Mayo","2006","Number","123839"
"Population","All ages","Both sexes","Roscommon","2006","Number","58768"
"Population","All ages","Both sexes","Sligo","2006","Number","60894"
"Population","All ages","Both sexes","Ulster (part of)","2006","Number","267264"
"Population","All ages","Both sexes","Cavan","2006","Number","64003"
"Population","All ages","Both sexes","Donegal","2006","Number","147264"
"Population","All ages","Both sexes","Monaghan","2006","Number","55997"
"Population","All ages","Male","State","2006","Number","2121171"
"Population","All ages","Male","Leinster","2006","Number","1141320"
"Population","All ages","Male","Carlow","2006","Number","25611"
"Population","All ages","Male","Dublin","2006","Number","582557"
"Population","All ages","Male","Dublin City","2006","Number","248087"
"Population","All ages","Male","Dún Laoghaire-Rathdown","2006","Number","92899"
"Population","All ages","Male","Fingal","2006","Number","119200"
"Population","All ages","Male","South Dublin","2006","Number","122371"
"Population","All ages","Male","Kildare","2006","Number","94190"
"Population","All ages","Male","Kilkenny","2006","Number","44263"
"Population","All ages","Male","Laois","2006","Number","34409"
"Population","All ages","Male","Longford","2006","Number","17573"
"Population","All ages","Male","Louth","2006","Number","55335"
"Population","All ages","Male","Meath","2006","Number","82651"
"Population","All ages","Male","Offaly","2006","Number","35937"
"Population","All ages","Male","Westmeath","2006","Number","39819"
"Population","All ages","Male","Wexford","2006","Number","66070"
"Population","All ages","Male","Wicklow","2006","Number","62905"
"Population","All ages","Male","Munster","2006","Number","589933"
"Population","All ages","Male","Clare","2006","Number","56048"
"Population","All ages","Male","Cork","2006","Number","240814"
"Population","All ages","Male","Cork City","2006","Number","58449"
"Population","All ages","Male","Cork County","2006","Number","182365"
"Population","All ages","Male","Kerry","2006","Number","70641"
"Population","All ages","Male","Limerick","2006","Number","92680"
"Population","All ages","Male","Limerick City","2006","Number","25698"
"Population","All ages","Male","Limerick County","2006","Number","66982"
"Population","All ages","Male","North Tipperary","2006","Number","33568"
"Population","All ages","Male","South Tipperary","2006","Number","42250"
"Population","All ages","Male","Waterford","2006","Number","53932"
"Population","All ages","Male","Waterford City","2006","Number","22622"
"Population","All ages","Male","Waterford County","2006","Number","31310"
"Population","All ages","Male","Connacht","2006","Number","254450"
"Population","All ages","Male","Galway","2006","Number","116476"
"Population","All ages","Male","Galway City","2006","Number","34848"
"Population","All ages","Male","Galway County","2006","Number","81628"
"Population","All ages","Male","Leitrim","2006","Number","14903"
"Population","All ages","Male","Mayo","2006","Number","62636"
"Population","All ages","Male","Roscommon","2006","Number","30178"
"Population","All ages","Male","Sligo","2006","Number","30257"
"Population","All ages","Male","Ulster (part of)","2006","Number","135468"
"Population","All ages","Male","Cavan","2006","Number","32915"
"Population","All ages","Male","Donegal","2006","Number","73970"
"Population","All ages","Male","Monaghan","2006","Number","28583"
"Population","All ages","Female","State","2006","Number","2118677"
"Population","All ages","Female","Leinster","2006","Number","1153803"
"Population","All ages","Female","Carlow","2006","Number","24738"
"Population","All ages","Female","Dublin","2006","Number","604619"
"Population","All ages","Female","Dublin City","2006","Number","258124"
"Population","All ages","Female","Dún Laoghaire-Rathdown","2006","Number","101139"
"Population","All ages","Female","Fingal","2006","Number","120792"
"Population","All ages","Female","South Dublin","2006","Number","124564"
"Population","All ages","Female","Kildare","2006","Number","92145"
"Population","All ages","Female","Kilkenny","2006","Number","43295"
"Population","All ages","Female","Laois","2006","Number","32650"
"Population","All ages","Female","Longford","2006","Number","16818"
"Population","All ages","Female","Louth","2006","Number","55932"
"Population","All ages","Female","Meath","2006","Number","80180"
"Population","All ages","Female","Offaly","2006","Number","34931"
"Population","All ages","Female","Westmeath","2006","Number","39527"
"Population","All ages","Female","Wexford","2006","Number","65679"
"Population","All ages","Female","Wicklow","2006","Number","63289"
"Population","All ages","Female","Munster","2006","Number","583407"
"Population","All ages","Female","Clare","2006","Number","54902"
"Population","All ages","Female","Cork","2006","Number","240481"
"Population","All ages","Female","Cork City","2006","Number","60969"
"Population","All ages","Female","Cork County","2006","Number","179512"
"Population","All ages","Female","Kerry","2006","Number","69194"
"Population","All ages","Female","Limerick","2006","Number","91375"
"Population","All ages","Female","Limerick City","2006","Number","26841"
"Population","All ages","Female","Limerick County","2006","Number","64534"
"Population","All ages","Female","North Tipperary","2006","Number","32455"
"Population","All ages","Female","South Tipperary","2006","Number","40971"
"Population","All ages","Female","Waterford","2006","Number","54029"
"Population","All ages","Female","Waterford City","2006","Number","23126"
"Population","All ages","Female","Waterford County","2006","Number","30903"
"Population","All ages","Female","Connacht","2006","Number","249671"
"Population","All ages","Female","Galway","2006","Number","115194"
"Population","All ages","Female","Galway City","2006","Number","37566"
"Population","All ages","Female","Galway County","2006","Number","77628"
"Population","All ages","Female","Leitrim","2006","Number","14047"
"Population","All ages","Female","Mayo","2006","Number","61203"
"Population","All ages","Female","Roscommon","2006","Number","28590"
"Population","All ages","Female","Sligo","2006","Number","30637"
