"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"Population","All ages","Female","Ulster (part of)","2006","Number","131796"
"Population","All ages","Female","Cavan","2006","Number","31088"
"Population","All ages","Female","Donegal","2006","Number","73294"
"Population","All ages","Female","Monaghan","2006","Number","27414"
"Population","0 - 4 years","Both sexes","State","2006","Number","302252"
"Population","0 - 4 years","Both sexes","Leinster","2006","Number","166883"
"Population","0 - 4 years","Both sexes","Carlow","2006","Number","3842"
"Population","0 - 4 years","Both sexes","Dublin","2006","Number","78454"
"Population","0 - 4 years","Both sexes","Dublin City","2006","Number","26363"
"Population","0 - 4 years","Both sexes","Dún Laoghaire-Rathdown","2006","Number","11269"
"Population","0 - 4 years","Both sexes","Fingal","2006","Number","21273"
"Population","0 - 4 years","Both sexes","South Dublin","2006","Number","19549"
"Population","0 - 4 years","Both sexes","Kildare","2006","Number","16025"
"Population","0 - 4 years","Both sexes","Kilkenny","2006","Number","6340"
"Population","0 - 4 years","Both sexes","Laois","2006","Number","5498"
"Population","0 - 4 years","Both sexes","Longford","2006","Number","2611"
"Population","0 - 4 years","Both sexes","Louth","2006","Number","8830"
"Population","0 - 4 years","Both sexes","Meath","2006","Number","14228"
"Population","0 - 4 years","Both sexes","Offaly","2006","Number","5449"
"Population","0 - 4 years","Both sexes","Westmeath","2006","Number","6000"
"Population","0 - 4 years","Both sexes","Wexford","2006","Number","10025"
"Population","0 - 4 years","Both sexes","Wicklow","2006","Number","9581"
"Population","0 - 4 years","Both sexes","Munster","2006","Number","81234"
"Population","0 - 4 years","Both sexes","Clare","2006","Number","8206"
"Population","0 - 4 years","Both sexes","Cork","2006","Number","33618"
"Population","0 - 4 years","Both sexes","Cork City","2006","Number","5707"
"Population","0 - 4 years","Both sexes","Cork County","2006","Number","27911"
"Population","0 - 4 years","Both sexes","Kerry","2006","Number","8835"
"Population","0 - 4 years","Both sexes","Limerick","2006","Number","12291"
"Population","0 - 4 years","Both sexes","Limerick City","2006","Number","3200"
"Population","0 - 4 years","Both sexes","Limerick County","2006","Number","9091"
"Population","0 - 4 years","Both sexes","North Tipperary","2006","Number","4707"
"Population","0 - 4 years","Both sexes","South Tipperary","2006","Number","5776"
"Population","0 - 4 years","Both sexes","Waterford","2006","Number","7801"
"Population","0 - 4 years","Both sexes","Waterford City","2006","Number","3178"
"Population","0 - 4 years","Both sexes","Waterford County","2006","Number","4623"
"Population","0 - 4 years","Both sexes","Connacht","2006","Number","34337"
"Population","0 - 4 years","Both sexes","Galway","2006","Number","16237"
"Population","0 - 4 years","Both sexes","Galway City","2006","Number","4278"
"Population","0 - 4 years","Both sexes","Galway County","2006","Number","11959"
"Population","0 - 4 years","Both sexes","Leitrim","2006","Number","1989"
"Population","0 - 4 years","Both sexes","Mayo","2006","Number","8280"
"Population","0 - 4 years","Both sexes","Roscommon","2006","Number","3944"
"Population","0 - 4 years","Both sexes","Sligo","2006","Number","3887"
"Population","0 - 4 years","Both sexes","Ulster (part of)","2006","Number","19798"
"Population","0 - 4 years","Both sexes","Cavan","2006","Number","4743"
"Population","0 - 4 years","Both sexes","Donegal","2006","Number","11168"
"Population","0 - 4 years","Both sexes","Monaghan","2006","Number","3887"
"Population","0 - 4 years","Male","State","2006","Number","154556"
"Population","0 - 4 years","Male","Leinster","2006","Number","85331"
"Population","0 - 4 years","Male","Carlow","2006","Number","1893"
"Population","0 - 4 years","Male","Dublin","2006","Number","40071"
"Population","0 - 4 years","Male","Dublin City","2006","Number","13430"
"Population","0 - 4 years","Male","Dún Laoghaire-Rathdown","2006","Number","5744"
"Population","0 - 4 years","Male","Fingal","2006","Number","10775"
"Population","0 - 4 years","Male","South Dublin","2006","Number","10122"
"Population","0 - 4 years","Male","Kildare","2006","Number","8230"
"Population","0 - 4 years","Male","Kilkenny","2006","Number","3209"
"Population","0 - 4 years","Male","Laois","2006","Number","2810"
"Population","0 - 4 years","Male","Longford","2006","Number","1330"
"Population","0 - 4 years","Male","Louth","2006","Number","4550"
"Population","0 - 4 years","Male","Meath","2006","Number","7367"
"Population","0 - 4 years","Male","Offaly","2006","Number","2752"
"Population","0 - 4 years","Male","Westmeath","2006","Number","3055"
"Population","0 - 4 years","Male","Wexford","2006","Number","5191"
"Population","0 - 4 years","Male","Wicklow","2006","Number","4873"
"Population","0 - 4 years","Male","Munster","2006","Number","41444"
"Population","0 - 4 years","Male","Clare","2006","Number","4106"
"Population","0 - 4 years","Male","Cork","2006","Number","17190"
"Population","0 - 4 years","Male","Cork City","2006","Number","2916"
"Population","0 - 4 years","Male","Cork County","2006","Number","14274"
"Population","0 - 4 years","Male","Kerry","2006","Number","4502"
"Population","0 - 4 years","Male","Limerick","2006","Number","6294"
"Population","0 - 4 years","Male","Limerick City","2006","Number","1626"
"Population","0 - 4 years","Male","Limerick County","2006","Number","4668"
"Population","0 - 4 years","Male","North Tipperary","2006","Number","2415"
"Population","0 - 4 years","Male","South Tipperary","2006","Number","2931"
"Population","0 - 4 years","Male","Waterford","2006","Number","4006"
"Population","0 - 4 years","Male","Waterford City","2006","Number","1632"
"Population","0 - 4 years","Male","Waterford County","2006","Number","2374"
"Population","0 - 4 years","Male","Connacht","2006","Number","17541"
"Population","0 - 4 years","Male","Galway","2006","Number","8309"
"Population","0 - 4 years","Male","Galway City","2006","Number","2148"
"Population","0 - 4 years","Male","Galway County","2006","Number","6161"
"Population","0 - 4 years","Male","Leitrim","2006","Number","1019"
"Population","0 - 4 years","Male","Mayo","2006","Number","4210"
"Population","0 - 4 years","Male","Roscommon","2006","Number","2037"
"Population","0 - 4 years","Male","Sligo","2006","Number","1966"
"Population","0 - 4 years","Male","Ulster (part of)","2006","Number","10240"
"Population","0 - 4 years","Male","Cavan","2006","Number","2458"
"Population","0 - 4 years","Male","Donegal","2006","Number","5751"
"Population","0 - 4 years","Male","Monaghan","2006","Number","2031"
"Population","0 - 4 years","Female","State","2006","Number","147696"
"Population","0 - 4 years","Female","Leinster","2006","Number","81552"
"Population","0 - 4 years","Female","Carlow","2006","Number","1949"
"Population","0 - 4 years","Female","Dublin","2006","Number","38383"
"Population","0 - 4 years","Female","Dublin City","2006","Number","12933"
"Population","0 - 4 years","Female","Dún Laoghaire-Rathdown","2006","Number","5525"
"Population","0 - 4 years","Female","Fingal","2006","Number","10498"
"Population","0 - 4 years","Female","South Dublin","2006","Number","9427"
"Population","0 - 4 years","Female","Kildare","2006","Number","7795"
"Population","0 - 4 years","Female","Kilkenny","2006","Number","3131"
"Population","0 - 4 years","Female","Laois","2006","Number","2688"
"Population","0 - 4 years","Female","Longford","2006","Number","1281"
"Population","0 - 4 years","Female","Louth","2006","Number","4280"
"Population","0 - 4 years","Female","Meath","2006","Number","6861"
"Population","0 - 4 years","Female","Offaly","2006","Number","2697"
"Population","0 - 4 years","Female","Westmeath","2006","Number","2945"
"Population","0 - 4 years","Female","Wexford","2006","Number","4834"
"Population","0 - 4 years","Female","Wicklow","2006","Number","4708"
"Population","0 - 4 years","Female","Munster","2006","Number","39790"
"Population","0 - 4 years","Female","Clare","2006","Number","4100"
"Population","0 - 4 years","Female","Cork","2006","Number","16428"
"Population","0 - 4 years","Female","Cork City","2006","Number","2791"
"Population","0 - 4 years","Female","Cork County","2006","Number","13637"
"Population","0 - 4 years","Female","Kerry","2006","Number","4333"
"Population","0 - 4 years","Female","Limerick","2006","Number","5997"
"Population","0 - 4 years","Female","Limerick City","2006","Number","1574"
"Population","0 - 4 years","Female","Limerick County","2006","Number","4423"
"Population","0 - 4 years","Female","North Tipperary","2006","Number","2292"
"Population","0 - 4 years","Female","South Tipperary","2006","Number","2845"
"Population","0 - 4 years","Female","Waterford","2006","Number","3795"
"Population","0 - 4 years","Female","Waterford City","2006","Number","1546"
"Population","0 - 4 years","Female","Waterford County","2006","Number","2249"
"Population","0 - 4 years","Female","Connacht","2006","Number","16796"
"Population","0 - 4 years","Female","Galway","2006","Number","7928"
"Population","0 - 4 years","Female","Galway City","2006","Number","2130"
"Population","0 - 4 years","Female","Galway County","2006","Number","5798"
"Population","0 - 4 years","Female","Leitrim","2006","Number","970"
"Population","0 - 4 years","Female","Mayo","2006","Number","4070"
"Population","0 - 4 years","Female","Roscommon","2006","Number","1907"
"Population","0 - 4 years","Female","Sligo","2006","Number","1921"
"Population","0 - 4 years","Female","Ulster (part of)","2006","Number","9558"
"Population","0 - 4 years","Female","Cavan","2006","Number","2285"
"Population","0 - 4 years","Female","Donegal","2006","Number","5417"
"Population","0 - 4 years","Female","Monaghan","2006","Number","1856"
"Population","5 - 9 years","Both sexes","State","2006","Number","288325"
"Population","5 - 9 years","Both sexes","Leinster","2006","Number","154490"
"Population","5 - 9 years","Both sexes","Carlow","2006","Number","3418"
"Population","5 - 9 years","Both sexes","Dublin","2006","Number","71451"
"Population","5 - 9 years","Both sexes","Dublin City","2006","Number","25043"
"Population","5 - 9 years","Both sexes","Dún Laoghaire-Rathdown","2006","Number","11796"
"Population","5 - 9 years","Both sexes","Fingal","2006","Number","16903"
"Population","5 - 9 years","Both sexes","South Dublin","2006","Number","17709"
"Population","5 - 9 years","Both sexes","Kildare","2006","Number","14516"
"Population","5 - 9 years","Both sexes","Kilkenny","2006","Number","6268"
"Population","5 - 9 years","Both sexes","Laois","2006","Number","5093"
"Population","5 - 9 years","Both sexes","Longford","2006","Number","2448"
"Population","5 - 9 years","Both sexes","Louth","2006","Number","8341"
"Population","5 - 9 years","Both sexes","Meath","2006","Number","12800"
"Population","5 - 9 years","Both sexes","Offaly","2006","Number","5428"
"Population","5 - 9 years","Both sexes","Westmeath","2006","Number","5919"
"Population","5 - 9 years","Both sexes","Wexford","2006","Number","9858"
"Population","5 - 9 years","Both sexes","Wicklow","2006","Number","8950"
"Population","5 - 9 years","Both sexes","Munster","2006","Number","80117"
"Population","5 - 9 years","Both sexes","Clare","2006","Number","8118"
"Population","5 - 9 years","Both sexes","Cork","2006","Number","32441"
"Population","5 - 9 years","Both sexes","Cork City","2006","Number","6051"
"Population","5 - 9 years","Both sexes","Cork County","2006","Number","26390"
"Population","5 - 9 years","Both sexes","Kerry","2006","Number","9298"
"Population","5 - 9 years","Both sexes","Limerick","2006","Number","12080"
"Population","5 - 9 years","Both sexes","Limerick City","2006","Number","3157"
"Population","5 - 9 years","Both sexes","Limerick County","2006","Number","8923"
"Population","5 - 9 years","Both sexes","North Tipperary","2006","Number","4846"
"Population","5 - 9 years","Both sexes","South Tipperary","2006","Number","5836"
"Population","5 - 9 years","Both sexes","Waterford","2006","Number","7498"
"Population","5 - 9 years","Both sexes","Waterford City","2006","Number","2838"
"Population","5 - 9 years","Both sexes","Waterford County","2006","Number","4660"
"Population","5 - 9 years","Both sexes","Connacht","2006","Number","33540"
"Population","5 - 9 years","Both sexes","Galway","2006","Number","15135"
"Population","5 - 9 years","Both sexes","Galway City","2006","Number","3542"
"Population","5 - 9 years","Both sexes","Galway County","2006","Number","11593"
"Population","5 - 9 years","Both sexes","Leitrim","2006","Number","1958"
"Population","5 - 9 years","Both sexes","Mayo","2006","Number","8449"
"Population","5 - 9 years","Both sexes","Roscommon","2006","Number","3992"
"Population","5 - 9 years","Both sexes","Sligo","2006","Number","4006"
"Population","5 - 9 years","Both sexes","Ulster (part of)","2006","Number","20178"
"Population","5 - 9 years","Both sexes","Cavan","2006","Number","4914"
"Population","5 - 9 years","Both sexes","Donegal","2006","Number","11293"
"Population","5 - 9 years","Both sexes","Monaghan","2006","Number","3971"
"Population","5 - 9 years","Male","State","2006","Number","147984"
"Population","5 - 9 years","Male","Leinster","2006","Number","79396"
"Population","5 - 9 years","Male","Carlow","2006","Number","1784"
"Population","5 - 9 years","Male","Dublin","2006","Number","36744"
"Population","5 - 9 years","Male","Dublin City","2006","Number","12892"
"Population","5 - 9 years","Male","Dún Laoghaire-Rathdown","2006","Number","6068"
"Population","5 - 9 years","Male","Fingal","2006","Number","8733"
"Population","5 - 9 years","Male","South Dublin","2006","Number","9051"
"Population","5 - 9 years","Male","Kildare","2006","Number","7455"
"Population","5 - 9 years","Male","Kilkenny","2006","Number","3248"
"Population","5 - 9 years","Male","Laois","2006","Number","2587"
"Population","5 - 9 years","Male","Longford","2006","Number","1296"
"Population","5 - 9 years","Male","Louth","2006","Number","4189"
"Population","5 - 9 years","Male","Meath","2006","Number","6602"
"Population","5 - 9 years","Male","Offaly","2006","Number","2768"
"Population","5 - 9 years","Male","Westmeath","2006","Number","3047"
"Population","5 - 9 years","Male","Wexford","2006","Number","4999"
"Population","5 - 9 years","Male","Wicklow","2006","Number","4677"
"Population","5 - 9 years","Male","Munster","2006","Number","40956"
"Population","5 - 9 years","Male","Clare","2006","Number","4055"
"Population","5 - 9 years","Male","Cork","2006","Number","16610"
"Population","5 - 9 years","Male","Cork City","2006","Number","3168"
"Population","5 - 9 years","Male","Cork County","2006","Number","13442"
"Population","5 - 9 years","Male","Kerry","2006","Number","4729"
"Population","5 - 9 years","Male","Limerick","2006","Number","6209"
"Population","5 - 9 years","Male","Limerick City","2006","Number","1609"
"Population","5 - 9 years","Male","Limerick County","2006","Number","4600"
"Population","5 - 9 years","Male","North Tipperary","2006","Number","2457"
"Population","5 - 9 years","Male","South Tipperary","2006","Number","3020"
"Population","5 - 9 years","Male","Waterford","2006","Number","3876"
"Population","5 - 9 years","Male","Waterford City","2006","Number","1501"
"Population","5 - 9 years","Male","Waterford County","2006","Number","2375"
"Population","5 - 9 years","Male","Connacht","2006","Number","17258"
"Population","5 - 9 years","Male","Galway","2006","Number","7833"
"Population","5 - 9 years","Male","Galway City","2006","Number","1817"
"Population","5 - 9 years","Male","Galway County","2006","Number","6016"
"Population","5 - 9 years","Male","Leitrim","2006","Number","1007"
"Population","5 - 9 years","Male","Mayo","2006","Number","4301"
"Population","5 - 9 years","Male","Roscommon","2006","Number","1994"
"Population","5 - 9 years","Male","Sligo","2006","Number","2123"
"Population","5 - 9 years","Male","Ulster (part of)","2006","Number","10374"
"Population","5 - 9 years","Male","Cavan","2006","Number","2496"
"Population","5 - 9 years","Male","Donegal","2006","Number","5785"
"Population","5 - 9 years","Male","Monaghan","2006","Number","2093"
"Population","5 - 9 years","Female","State","2006","Number","140341"
"Population","5 - 9 years","Female","Leinster","2006","Number","75094"
"Population","5 - 9 years","Female","Carlow","2006","Number","1634"
"Population","5 - 9 years","Female","Dublin","2006","Number","34707"
"Population","5 - 9 years","Female","Dublin City","2006","Number","12151"
"Population","5 - 9 years","Female","Dún Laoghaire-Rathdown","2006","Number","5728"
"Population","5 - 9 years","Female","Fingal","2006","Number","8170"
"Population","5 - 9 years","Female","South Dublin","2006","Number","8658"
"Population","5 - 9 years","Female","Kildare","2006","Number","7061"
"Population","5 - 9 years","Female","Kilkenny","2006","Number","3020"
"Population","5 - 9 years","Female","Laois","2006","Number","2506"
"Population","5 - 9 years","Female","Longford","2006","Number","1152"
"Population","5 - 9 years","Female","Louth","2006","Number","4152"
"Population","5 - 9 years","Female","Meath","2006","Number","6198"
"Population","5 - 9 years","Female","Offaly","2006","Number","2660"
"Population","5 - 9 years","Female","Westmeath","2006","Number","2872"
"Population","5 - 9 years","Female","Wexford","2006","Number","4859"
"Population","5 - 9 years","Female","Wicklow","2006","Number","4273"
"Population","5 - 9 years","Female","Munster","2006","Number","39161"
"Population","5 - 9 years","Female","Clare","2006","Number","4063"
"Population","5 - 9 years","Female","Cork","2006","Number","15831"
"Population","5 - 9 years","Female","Cork City","2006","Number","2883"
"Population","5 - 9 years","Female","Cork County","2006","Number","12948"
"Population","5 - 9 years","Female","Kerry","2006","Number","4569"
"Population","5 - 9 years","Female","Limerick","2006","Number","5871"
"Population","5 - 9 years","Female","Limerick City","2006","Number","1548"
"Population","5 - 9 years","Female","Limerick County","2006","Number","4323"
"Population","5 - 9 years","Female","North Tipperary","2006","Number","2389"
"Population","5 - 9 years","Female","South Tipperary","2006","Number","2816"
"Population","5 - 9 years","Female","Waterford","2006","Number","3622"
"Population","5 - 9 years","Female","Waterford City","2006","Number","1337"
"Population","5 - 9 years","Female","Waterford County","2006","Number","2285"
"Population","5 - 9 years","Female","Connacht","2006","Number","16282"
"Population","5 - 9 years","Female","Galway","2006","Number","7302"
"Population","5 - 9 years","Female","Galway City","2006","Number","1725"
"Population","5 - 9 years","Female","Galway County","2006","Number","5577"
"Population","5 - 9 years","Female","Leitrim","2006","Number","951"
"Population","5 - 9 years","Female","Mayo","2006","Number","4148"
"Population","5 - 9 years","Female","Roscommon","2006","Number","1998"
"Population","5 - 9 years","Female","Sligo","2006","Number","1883"
"Population","5 - 9 years","Female","Ulster (part of)","2006","Number","9804"
"Population","5 - 9 years","Female","Cavan","2006","Number","2418"
"Population","5 - 9 years","Female","Donegal","2006","Number","5508"
"Population","5 - 9 years","Female","Monaghan","2006","Number","1878"
"Population","10 - 14 years","Both sexes","State","2006","Number","273872"
"Population","10 - 14 years","Both sexes","Leinster","2006","Number","144039"
"Population","10 - 14 years","Both sexes","Carlow","2006","Number","3310"
"Population","10 - 14 years","Both sexes","Dublin","2006","Number","67747"
"Population","10 - 14 years","Both sexes","Dublin City","2006","Number","24448"
"Population","10 - 14 years","Both sexes","Dún Laoghaire-Rathdown","2006","Number","12179"
"Population","10 - 14 years","Both sexes","Fingal","2006","Number","14798"
"Population","10 - 14 years","Both sexes","South Dublin","2006","Number","16322"
"Population","10 - 14 years","Both sexes","Kildare","2006","Number","12468"
"Population","10 - 14 years","Both sexes","Kilkenny","2006","Number","6245"
"Population","10 - 14 years","Both sexes","Laois","2006","Number","4573"
"Population","10 - 14 years","Both sexes","Longford","2006","Number","2404"
"Population","10 - 14 years","Both sexes","Louth","2006","Number","7397"
"Population","10 - 14 years","Both sexes","Meath","2006","Number","11122"
"Population","10 - 14 years","Both sexes","Offaly","2006","Number","5080"
"Population","10 - 14 years","Both sexes","Westmeath","2006","Number","5732"
"Population","10 - 14 years","Both sexes","Wexford","2006","Number","9355"
"Population","10 - 14 years","Both sexes","Wicklow","2006","Number","8606"
"Population","10 - 14 years","Both sexes","Munster","2006","Number","76887"
"Population","10 - 14 years","Both sexes","Clare","2006","Number","7649"
"Population","10 - 14 years","Both sexes","Cork","2006","Number","30968"
"Population","10 - 14 years","Both sexes","Cork City","2006","Number","6406"
"Population","10 - 14 years","Both sexes","Cork County","2006","Number","24562"
"Population","10 - 14 years","Both sexes","Kerry","2006","Number","9115"
"Population","10 - 14 years","Both sexes","Limerick","2006","Number","11572"
"Population","10 - 14 years","Both sexes","Limerick City","2006","Number","3014"
"Population","10 - 14 years","Both sexes","Limerick County","2006","Number","8558"
"Population","10 - 14 years","Both sexes","North Tipperary","2006","Number","4549"
"Population","10 - 14 years","Both sexes","South Tipperary","2006","Number","5916"
"Population","10 - 14 years","Both sexes","Waterford","2006","Number","7118"
"Population","10 - 14 years","Both sexes","Waterford City","2006","Number","2762"
"Population","10 - 14 years","Both sexes","Waterford County","2006","Number","4356"
"Population","10 - 14 years","Both sexes","Connacht","2006","Number","33375"
"Population","10 - 14 years","Both sexes","Galway","2006","Number","14674"
"Population","10 - 14 years","Both sexes","Galway City","2006","Number","3330"
"Population","10 - 14 years","Both sexes","Galway County","2006","Number","11344"
"Population","10 - 14 years","Both sexes","Leitrim","2006","Number","1951"
"Population","10 - 14 years","Both sexes","Mayo","2006","Number","8680"
"Population","10 - 14 years","Both sexes","Roscommon","2006","Number","4041"
"Population","10 - 14 years","Both sexes","Sligo","2006","Number","4029"
"Population","10 - 14 years","Both sexes","Ulster (part of)","2006","Number","19571"
"Population","10 - 14 years","Both sexes","Cavan","2006","Number","4595"
"Population","10 - 14 years","Both sexes","Donegal","2006","Number","10965"
"Population","10 - 14 years","Both sexes","Monaghan","2006","Number","4011"
"Population","10 - 14 years","Male","State","2006","Number","140504"
"Population","10 - 14 years","Male","Leinster","2006","Number","74076"
"Population","10 - 14 years","Male","Carlow","2006","Number","1741"
"Population","10 - 14 years","Male","Dublin","2006","Number","35050"
"Population","10 - 14 years","Male","Dublin City","2006","Number","12452"
"Population","10 - 14 years","Male","Dún Laoghaire-Rathdown","2006","Number","6338"
"Population","10 - 14 years","Male","Fingal","2006","Number","7766"
"Population","10 - 14 years","Male","South Dublin","2006","Number","8494"
"Population","10 - 14 years","Male","Kildare","2006","Number","6401"
"Population","10 - 14 years","Male","Kilkenny","2006","Number","3184"
"Population","10 - 14 years","Male","Laois","2006","Number","2335"
"Population","10 - 14 years","Male","Longford","2006","Number","1206"
"Population","10 - 14 years","Male","Louth","2006","Number","3780"
"Population","10 - 14 years","Male","Meath","2006","Number","5736"
"Population","10 - 14 years","Male","Offaly","2006","Number","2620"
"Population","10 - 14 years","Male","Westmeath","2006","Number","2915"
