Year,County,Age Range,Gender,Count,Missing
2023,Carlow,35 to 44 years,Non-binary,0,N
2023,Carlow,35 to 44 years,In another way,0,N
2023,Carlow,35 to 44 years,Unknown,0,N
2023,Carlow,45 to 64 years,Male,24,N
2023,Carlow,45 to 64 years,Female,13,N
2023,Carlow,45 to 64 years,Non-binary,0,N
2023,Carlow,45 to 64 years,In another way,0,N
2023,Carlow,45 to 64 years,Unknown,0,N
2023,Carlow,65 years or over,Male,0,Y
2023,Carlow,65 years or over,Female,0,N
2023,Carlow,65 years or over,Non-binary,0,N
2023,Carlow,65 years or over,In another way,0,N
2023,Carlow,65 years or over,Unknown,0,N
2023,Carlow,Unknown,Male,0,N
2023,Carlow,Unknown,Female,0,N
2023,Carlow,Unknown,Non-binary,0,N
2023,Carlow,Unknown,In another way,0,N
2023,Carlow,Unknown,Unknown,0,N
2023,Dublin,Under 18,Male,11,N
2023,Dublin,Under 18,Female,12,N
2023,Dublin,Under 18,Non-binary,0,N
2023,Dublin,Under 18,In another way,0,N
2023,Dublin,Under 18,Unknown,0,N
2023,Dublin,18 to 24 years,Male,54,N
2023,Dublin,18 to 24 years,Female,36,N
2023,Dublin,18 to 24 years,Non-binary,0,Y
2023,Dublin,18 to 24 years,In another way,0,N
2023,Dublin,18 to 24 years,Unknown,0,Y
2023,Dublin,25 to 34 years,Male,333,N
2023,Dublin,25 to 34 years,Female,149,N
2023,Dublin,25 to 34 years,Non-binary,0,Y
2023,Dublin,25 to 34 years,In another way,0,N
2023,Dublin,25 to 34 years,Unknown,0,Y
2023,Dublin,35 to 44 years,Male,453,N
2023,Dublin,35 to 44 years,Female,303,N
2023,Dublin,35 to 44 years,Non-binary,0,N
2023,Dublin,35 to 44 years,In another way,0,N
2023,Dublin,35 to 44 years,Unknown,0,N
2023,Dublin,45 to 64 years,Male,617,N
2023,Dublin,45 to 64 years,Female,374,N
2023,Dublin,45 to 64 years,Non-binary,0,N
2023,Dublin,45 to 64 years,In another way,0,N
2023,Dublin,45 to 64 years,Unknown,0,N
2023,Dublin,65 years or over,Male,48,N
2023,Dublin,65 years or over,Female,53,N
2023,Dublin,65 years or over,Non-binary,0,N
2023,Dublin,65 years or over,In another way,0,N
2023,Dublin,65 years or over,Unknown,0,N
2023,Dublin,Unknown,Male,0,Y
2023,Dublin,Unknown,Female,0,Y
